Year,Position,Position_recoded,Position_group,Winner,League,playerID
1957,1B,1B,INF,Gil Hodges,AL,hodgegi01
1957,2B,2B,INF,Nellie Fox,AL,foxne01
1957,3B,3B,INF,Frank Malzone,AL,malzofr01
1957,SS,SS,INF,Roy McMillan,AL,mcmilro01
1957,OF,OF,OUTF,Willie Mays,AL,mayswi01
1957,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1957,OF3,OF,OUTF,Minnie Minoso,AL,minosmi01
1957,C,C,C,Sherm Lollar,AL,lollash01
1957,P,P,P,Bobby Shantz,AL,shantbo01
1958,1B,1B,INF,Vic Power,AL,powervi01
1958,2B,2B,INF,Frank Bolling,AL,bollifr01
1958,3B,3B,INF,Frank Malzone,AL,malzofr01
1958,SS,SS,INF,Luis Aparicio,AL,aparilu01
1958,OF,OF,OUTF,Norm Siebern,AL,siebeno01
1958,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1958,OF3,OF,OUTF,Jim Piersall,AL,piersji01
1958,C,C,C,Sherm Lollar,AL,lollash01
1958,P,P,P,Bobby Shantz,AL,shantbo01
1959,1B,1B,INF,Vic Power,AL,powervi01
1959,2B,2B,INF,Nellie Fox,AL,foxne01
1959,3B,3B,INF,Frank Malzone,AL,malzofr01
1959,SS,SS,INF,Luis Aparicio,AL,aparilu01
1959,OF,OF,OUTF,Jackie Jensen,AL,jenseja01
1959,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1959,OF3,OF,OUTF,Minnie Minoso,AL,minosmi01
1959,C,C,C,Sherm Lollar,AL,lollash01
1959,P,P,P,Bobby Shantz,AL,shantbo01
1960,1B,1B,INF,Vic Power,AL,powervi01
1960,2B,2B,INF,Nellie Fox,AL,foxne01
1960,3B,3B,INF,Brooks Robinson,AL,robinbr01
1960,SS,SS,INF,Luis Aparicio,AL,aparilu01
1960,OF,OF,OUTF,Jim Landis,AL,landiji01
1960,OF2,OF,OUTF,Roger Maris,AL,marisro01
1960,OF3,OF,OUTF,Minnie Minoso,AL,minosmi01
1960,C,C,C,Earl Battey,AL,batteea01
1960,P,P,P,Bobby Shantz,AL,shantbo01
1961,1B,1B,INF,Vic Power,AL,powervi01
1961,2B,2B,INF,Bobby Richardson,AL,richabo01
1961,3B,3B,INF,Brooks Robinson,AL,robinbr01
1961,SS,SS,INF,Luis Aparicio,AL,aparilu01
1961,OF,OF,OUTF,Jim Landis,AL,landiji01
1961,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1961,OF3,OF,OUTF,Jim Piersall,AL,piersji01
1961,C,C,C,Earl Battey,AL,batteea01
1961,P,P,P,Frank Lary,AL,laryfr01
1962,1B,1B,INF,Vic Power,AL,powervi01
1962,2B,2B,INF,Bobby Richardson,AL,richabo01
1962,3B,3B,INF,Brooks Robinson,AL,robinbr01
1962,SS,SS,INF,Luis Aparicio,AL,aparilu01
1962,OF,OF,OUTF,Jim Landis,AL,landiji01
1962,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1962,OF3,OF,OUTF,Mickey Mantle,AL,mantlmi01
1962,C,C,C,Earl Battey,AL,batteea01
1962,P,P,P,Jim Kaat,AL,kaatji01
1963,1B,1B,INF,Vic Power,AL,powervi01
1963,2B,2B,INF,Bobby Richardson,AL,richabo01
1963,3B,3B,INF,Brooks Robinson,AL,robinbr01
1963,SS,SS,INF,Zoilo Versalles,AL,versazo01
1963,OF,OF,OUTF,Jim Landis,AL,landiji01
1963,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1963,OF3,OF,OUTF,Carl Yastrzemski,AL,yastrca01
1963,C,C,C,Elston Howard,AL,howarel01
1963,P,P,P,Jim Kaat,AL,kaatji01
1964,1B,1B,INF,Vic Power,AL,powervi01
1964,2B,2B,INF,Bobby Richardson,AL,richabo01
1964,3B,3B,INF,Brooks Robinson,AL,robinbr01
1964,SS,SS,INF,Luis Aparicio,AL,aparilu01
1964,OF,OF,OUTF,Jim Landis,AL,landiji01
1964,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1964,OF3,OF,OUTF,Vic Davalillo,AL,davalvi01
1964,C,C,C,Elston Howard,AL,howarel01
1964,P,P,P,Jim Kaat,AL,kaatji01
1965,1B,1B,INF,Joe Pepitone,AL,pepitjo01
1965,2B,2B,INF,Bobby Richardson,AL,richabo01
1965,3B,3B,INF,Brooks Robinson,AL,robinbr01
1965,SS,SS,INF,Zoilo Versalles,AL,versazo01
1965,OF,OF,OUTF,Tom Tresh,AL,treshto01
1965,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1965,OF3,OF,OUTF,Carl Yastrzemski,AL,yastrca01
1965,C,C,C,Bill Freehan,AL,freehbi01
1965,P,P,P,Jim Kaat,AL,kaatji01
1966,1B,1B,INF,Joe Pepitone,AL,pepitjo01
1966,2B,2B,INF,Bobby Knoop,AL,knoopbo01
1966,3B,3B,INF,Brooks Robinson,AL,robinbr01
1966,SS,SS,INF,Luis Aparicio,AL,aparilu01
1966,OF,OF,OUTF,Tommie Agee,AL,ageeto01
1966,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1966,OF3,OF,OUTF,Tony Oliva,AL,olivato01
1966,C,C,C,Bill Freehan,AL,freehbi01
1966,P,P,P,Jim Kaat,AL,kaatji01
1967,1B,1B,INF,George Scott,AL,scottge02
1967,2B,2B,INF,Bobby Knoop,AL,knoopbo01
1967,3B,3B,INF,Brooks Robinson,AL,robinbr01
1967,SS,SS,INF,Jim Fregosi,AL,fregoji01
1967,OF,OF,OUTF,Paul Blair,AL,blairpa01
1967,OF2,OF,OUTF,Al Kaline,AL,kalinal01
1967,OF3,OF,OUTF,Carl Yastrzemski,AL,yastrca01
1967,C,C,C,Bill Freehan,AL,freehbi01
1967,P,P,P,Jim Kaat,AL,kaatji01
1968,1B,1B,INF,George Scott,AL,scottge02
1968,2B,2B,INF,Bobby Knoop,AL,knoopbo01
1968,3B,3B,INF,Brooks Robinson,AL,robinbr01
1968,SS,SS,INF,Luis Aparicio,AL,aparilu01
1968,OF,OF,OUTF,Reggie Smith,AL,smithre06
1968,OF2,OF,OUTF,Mickey Stanley,AL,stanlmi01
1968,OF3,OF,OUTF,Carl Yastrzemski,AL,yastrca01
1968,C,C,C,Bill Freehan,AL,freehbi01
1968,P,P,P,Jim Kaat,AL,kaatji01
1969,1B,1B,INF,Joe Pepitone,AL,pepitjo01
1969,2B,2B,INF,Davey Johnson,AL,johnsda02
1969,3B,3B,INF,Brooks Robinson,AL,robinbr01
1969,SS,SS,INF,Mark Belanger,AL,belanma01
1969,OF,OF,OUTF,Paul Blair,AL,blairpa01
1969,OF2,OF,OUTF,Mickey Stanley,AL,stanlmi01
1969,OF3,OF,OUTF,Carl Yastrzemski,AL,yastrca01
1969,C,C,C,Bill Freehan,AL,freehbi01
1969,P,P,P,Jim Kaat,AL,kaatji01
1970,1B,1B,INF,Jim Spencer,AL,spencji01
1970,2B,2B,INF,Davey Johnson,AL,johnsda02
1970,3B,3B,INF,Brooks Robinson,AL,robinbr01
1970,SS,SS,INF,Luis Aparicio,AL,aparilu01
1970,OF,OF,OUTF,Paul Blair,AL,blairpa01
1970,OF2,OF,OUTF,Mickey Stanley,AL,stanlmi01
1970,OF3,OF,OUTF,Ken Berry,AL,berryke01
1970,C,C,C,Ray Fosse,AL,fossera01
1970,P,P,P,Jim Kaat,AL,kaatji01
1971,1B,1B,INF,George Scott,AL,scottge02
1971,2B,2B,INF,Davey Johnson,AL,johnsda02
1971,3B,3B,INF,Brooks Robinson,AL,robinbr01
1971,SS,SS,INF,Mark Belanger,AL,belanma01
1971,OF,OF,OUTF,Paul Blair,AL,blairpa01
1971,OF2,OF,OUTF,Amos Otis,AL,otisam01
1971,OF3,OF,OUTF,Carl Yastrzemski,AL,yastrca01
1971,C,C,C,Ray Fosse,AL,fossera01
1971,P,P,P,Jim Kaat,AL,kaatji01
1972,1B,1B,INF,George Scott,AL,scottge02
1972,2B,2B,INF,Doug Griffin,AL,griffdo01
1972,3B,3B,INF,Brooks Robinson,AL,robinbr01
1972,SS,SS,INF,Ed Brinkman,AL,brinked01
1972,OF,OF,OUTF,Paul Blair,AL,blairpa01
1972,OF2,OF,OUTF,Bobby Murcer,AL,murcebo01
1972,OF3,OF,OUTF,Ken Berry,AL,berryke01
1972,C,C,C,Carlton Fisk,AL,fiskca01
1972,P,P,P,Jim Kaat,AL,kaatji01
1973,1B,1B,INF,George Scott,AL,scottge02
1973,2B,2B,INF,Bobby Grich,AL,grichbo01
